Filename,HiF,LoF,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),SB|Version,AccpCallQuality,Max#CallsConsidered,MonitoringNight
BANFF-MOBILE_20240630_233235_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_233255_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_233310_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_233343_000.wav,,,,1,1,Mylu,Mylu,,,,42.56,,3.78,,,76.21,36.76,15.4,7.62,10.99,,Processed,BNP,5.98,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_233351_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_233406_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_233421_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_233433_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,1.71,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_233436_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_233451_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_233458_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_233525_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_233557_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_233605_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_233620_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_233656_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_233705_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_233732_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_233747_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_233802_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_233830_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_233845_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_233848_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_233903_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,6,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_233933_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_234006_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_234144_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,8.35,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_234200_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_234217_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_234245_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_234307_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_234350_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_234417_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_234428_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_234443_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_234516_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_234531_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_234608_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_234623_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_234638_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,1.42,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_234641_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_234657_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,11.19,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_234714_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_234739_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_234830_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_234845_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_234900_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_234932_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
